"code","iso","country","TBN.ind.1996","TBN.ind.1997","TBN.ind.1998","TBN.ind.1999","TBN.ind.2000","TBN.ind.2001","TBN.ind.2002","TBN.ind.2003","TBN.ind.2004","TBN.ind.2005","TBN.ind.2006","TBN.ind.2007","TBN.ind.2008","TBN.ind.2009","TBN.ind.2010","TBN.ind.2011","TBN.ind.2012","TBN.ind.2013","TBN.ind.2014","TBN.ind.2015","TBN.ind.2016","TBN.ind.2017","TBN.ind.2018","TBN.ind.2019","TBN.ind.2020","TBN.ind.2021","TBN.ind.2022","TBN.ind.2023","TBN.ind.2024","TBN.ind.2025"
170,"COL","Colombia",45.5951647468053,45.60913438963,46.9338553160737,46.9795750223727,47.0790010696843,47.0826981825627,50.1741280117227,50.1778453958353,50.1803093974507,51.777052248088,52.2364115050327,53.6853238233797,54.8385417397337,59.4196786926833,60.5733206657997,60.865154532706,60.9645019213123,61.4175033283257,63.022771955323,71.1151404276323,71.658437216327,73.0486094160623,79.0056601310323,83.6531286619787,84.207913423304,84.857587656804,85.2433903647543,85.5128769369663,85.852019322467,85.852019322467
174,"COM","Comoros",2.32472336014638,2.32472336014638,2.32472336014638,2.32472336014638,2.32472336014638,2.32472336014638,2.32472336014638,2.32472336014638,2.32472336014638,2.32472336014638,33.9939547154423,33.9939547154423,33.9939547154423,33.9939547154423,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
184,"COK","Cook Islands",2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657,2.95746345001657
188,"CRI","Costa Rica",72.874340896183,72.9024699317503,73.3616264686947,73.4812996145333,79.5674686954633,79.7412377782817,79.926304227777,80.3101954402323,80.6714125938983,80.6763068595907,80.6879418804323,80.6949064337543,80.6949064337543,80.7743229072777,84.152710117863,84.1611629784747,84.1654953146563,84.243749456426,84.3042321264857,84.3042321264857,84.3042321264857,84.3042321264857,84.3042321328753,84.579910218121,84.5799102181167,84.803199721912,84.8031997219133,84.8091953032573,84.8091953032573,84.8091953032573
384,"CIV","Cote d'Ivoire",73.2455566030337,73.2455566030337,73.2455566030337,73.2455566030337,73.2455566030337,73.2455566030337,73.2455566030337,73.2455566030337,73.2455566030337,74.1241681351413,74.1241681351413,74.1241681351413,74.1241681351413,74.1241681351413,74.1241681351413,74.1241681351413,74.1241681351413,74.1257049682717,74.1257049682717,74.1257049682717,74.1257049682717,74.1257049682717,74.192509343394,74.808949601729,74.821397644426,74.821397644426,75.0461458490663,75.728106709604,75.728106709604,75.728106709604
191,"HRV","Croatia",27.7114709944437,27.7167532065198,27.90557641706,33.0566389585067,33.0876269876035,33.9645466165577,33.9702059409247,34.2065122437707,34.2065122437707,34.2065122437813,35.0824624879027,35.0824624879097,35.0824624879097,35.082462487938,35.0982035347517,40.1789242068727,40.1789242068727,98.9367523802737,100,100,100,100,100,100,100,100,100,100,100,100
192,"CUB","Cuba",0,0,0,0,0,24.2540584178155,29.7658134032516,29.7658134032516,29.7658134032516,29.7658134032516,29.7658134032516,29.7658134032516,30.4036472387429,30.4036472387429,39.5026935009313,39.5026935009313,41.662899728734,41.662899728734,41.662899728734,41.662899728734,41.662899728734,41.662899728734,41.662899728734,41.662899728734,41.662899728734,41.662899728734,41.662899728734,41.662899728734,41.662899728734,41.662899728734
531,"CUW","Curacao",26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,26.769980589447,54.294936993746,54.294936993746,54.294936993746,54.294936993746,54.294936993746,55.337037748538,55.337037748538,55.337037748538,55.337037748538,55.337037748538,55.337037748538,55.337037748538,55.337037748538
196,"CYP","Cyprus",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
203,"CZE","Czechia",48.8940295206427,48.9370599344127,49.0393921321653,49.357274100734,49.383960053,49.4014105406657,49.428115509248,49.4284451237127,56.917834177473,61.112038494044,61.2995806611227,61.2997467921333,62.6441328094927,62.965702497699,62.9688435426207,63.59390924348,63.7429787555517,64.0038388705273,64.2455666779253,65.8167545885703,66.4175896266243,68.3516900429537,69.666321942326,69.73642781586,69.8418405330563,69.8607477710367,69.8723538800673,69.8996089075747,69.9132068556717,69.9132068556717
