iso,country,BCA,BER,BHI,BTO,BTZ,CDA,CHA,COE,FCD,FGA,GEL,GHO,GTI,GTP,HFD,HPE,KFL,KGL,LUF,MHP,MKP,MPE,NDA,NOD,NXA,OEB,OEC,OZD,PAC,PAE,PAR,PBD,PHL,PMD,PRS,PSU,RCY,RLI,RMS,SDA,SHI,SMW,SNM,SOE,SPI,TBN,TCL,TKP,USD,UWD,VOE,WWT
ECU,Ecuador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.434704006503,75.9166548884541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.9861077370332,NA,NA,21.2521,NA,NA,NA,41.11,64.439619237233,NA,64.5037647672591,NA,NA,NA,NA
EGY,Egypt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.1669876536283,26.606308411215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.5926341242887,NA,NA,82.6281000000001,NA,NA,NA,38.98,42.6268308790467,NA,44.55517360453,NA,NA,NA,NA
SLV,El Salvador,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.6760563380282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3054592490938,NA,NA,NA,NA,NA,NA,16.42,24.0566746162348,NA,45.4776493651823,NA,NA,NA,NA
GNQ,Equatorial Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.7803335250144,7.47398297067171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.1380860371093,NA,NA,NA,NA,NA,NA,70.54,59.1585600357627,NA,99.9967958818523,NA,NA,NA,NA
ERI,Eritrea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.0518172560086,NA,NA,81.5409,NA,NA,NA,0.01,0,NA,0,NA,NA,NA,NA
EST,Estonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.4882629107981,94.1728167281673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93.4263130883297,NA,NA,50.4099999999999,NA,NA,NA,95.49,65.7845828772737,NA,95.5984691341464,NA,NA,NA,NA
SWZ,Eswatini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.297357171931,NA,NA,NA,NA,NA,NA,15.79,15.5319467727418,NA,28.6739105276856,NA,NA,NA,NA
ETH,Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.932459630387,NA,NA,100,NA,NA,NA,49.65,56.4981460670467,NA,29.0178532863245,NA,NA,NA,NA
FRO,Faeroe Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.8653327305577,NA,NA,NA,NA,NA,NA,8.44,7.2750561740688,NA,5.53609122139837,NA,NA,NA,NA
FLK,Falkland Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0339627767966309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.01689756085,NA,NA,NA,NA,NA,NA,0.82,1.78255397405836,NA,0.0824414556266093,NA,NA,NA,NA
